j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,1.198694858049262e-06,-1823.8211399428
144.2217401281105,,,1.1986988289110113e-06,-1826.6841869943619,,
146.38211622420582,1.198704234862566e-06,-1821.942033088054,,,,
219.28791497034828,,,,,1.1987181966244105e-06,-1821.8134922172717
224.92862354035967,,,1.1987238346194732e-06,-1825.833206260762,,
231.69361752876148,1.198731970568592e-06,-1825.708682292192,,,,
342.6101684097347,,,,,1.1987594051054932e-06,-1828.6844034507985
358.06050820667093,,,1.1987691358455638e-06,-1828.6872152823466,,
377.7263405943315,1.1987838199043675e-06,-1826.300773678232,,,,
528.1908089177882,,,,,1.1988271079246686e-06,-1823.4644390263798
566.1525397949803,,,1.1988462052588925e-06,-1822.3324759830548,,
618.5630313054664,1.1988763958724193e-06,-1822.1776244027842,,,,
789.5604384767468,,,,,1.1989307457544411e-06,-1821.7881857333364
872.7138913027424,,,1.1989692361466022e-06,-1820.7184846742962,,
999.6747311651663,1.199034313642332e-06,-1819.1458674583214,,,,
1134.5238175894478,,,,,1.1990790526199948e-06,-1826.4666717395853
1297.0884239408674,,,1.199153395146681e-06,-1822.7028343669958,,
1563.918408624271,,,,,1.1992789359195665e-06,-1828.6611054179689
1575.1646221543515,1.1992909487907197e-06,-1821.6186724599925,,,,
1850.0914764211093,,,1.1994127355598577e-06,-1824.4542037314022,,
2073.0643864257163,,,,,1.1995352319822574e-06,-1826.5632782377825
2401.3245748108475,1.1996876645221192e-06,-1823.065560636734,,,,
2533.1852315460083,,,1.199758736901293e-06,-1823.24913306782,,
2654.351026780845,,,,,1.1998510583023658e-06,-1824.5805353059677
3299.2922877979304,,,,,1.200228203262581e-06,-1823.8566895273761
3340.6020093299603,,,1.200199873259685e-06,-1824.0416678742358,,
3529.1292183474147,1.2002712465396869e-06,-1824.7345835057959,,,,
3999.629436397636,,,,,1.2006675459687223e-06,-1822.7763436774744
4261.947646745685,,,1.200741484095664e-06,-1824.160367334599,,
4747.860582310452,,,,,1.2011693301960366e-06,-1823.6600621641014
4994.790709437165,1.2010877779900935e-06,-1824.126826201129,,,,
5284.497213174851,,,1.2013861175644934e-06,-1825.4969915456222,,
5537.506424268426,,,,,1.2017352013697953e-06,-1824.3061808848925
6363.200888990126,,,,,1.2023650316506653e-06,-1823.5343331248678
6395.34169728007,,,1.2021363277352827e-06,-1823.973782226854,,
6810.1167956935915,1.2021728769449256e-06,-1819.449946955765,,,,
7220.629862240621,,,,,1.2030571980530951e-06,-1821.9187350552247
7582.920853522155,,,1.202992122489462e-06,-1820.5260750583443,,
8106.403204458025,,,,,1.2038114102634862e-06,-1820.0181377736444
8837.653546335521,,,1.2039509339140265e-06,-1817.3810414715044,,
8964.636204849732,1.203553157876393e-06,-1813.9020024657416,,,,
9017.894024570698,,,,,1.2046274648323297e-06,-1818.605995801036
9953.09042436461,,,,,1.2055055754294092e-06,-1817.7080173115564
10151.930717665766,,,1.2050119533484591e-06,-1815.8166589050638,,
10910.471468336382,,,,,1.2064461727849158e-06,-1818.1930582536484
11436.938254832325,1.2052355463182808e-06,-1816.5774601840058,,,,
11519.825600200636,,,1.2061750152599844e-06,-1816.3151564695659,,
11888.903602665077,,,,,1.2074498053544085e-06,-1819.2553280435964
12887.554459935001,,,,,1.2085171809795864e-06,-1819.896224791512
12936.78467339795,,,1.2074405930739945e-06,-1817.9315579196514,,
13905.848902953117,,,,,1.2096491766900753e-06,-1820.1997017536241
14203.119576490448,1.207227547941043e-06,-1821.3551636748894,,,,
14399.318463537591,,,1.2088094692519482e-06,-1818.746587378454,,
14943.393372885046,,,,,1.21084678407293e-06,-1819.6188576937775
15904.794564684957,,,1.2102828100892258e-06,-1818.8936059994112,,
