j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,353.0100671679113,353.0132674580283
144.2217401281105,,,353.01148474435786,353.0078870595132,,
146.38211622420582,353.01358337753936,353.0222443020944,,,,
219.28791497034828,,,,,353.0027176861441,353.01176935430766
224.92862354035967,,,353.0040121898093,353.00829340938844,,
231.69361752876148,353.0063453813701,353.01571099339833,,,,
342.6101684097347,,,,,352.9924620657859,352.9973215097476
358.06050820667093,,,352.99331941878546,352.99280273605166,,
377.7263405943315,352.9957371192557,352.99146137375453,,,,
528.1908089177882,,,,,352.979588937261,352.98189244575644
566.1525397949803,,,352.9794577413229,352.9760377458821,,
618.5630313054664,352.9815313966184,352.97208161047485,,,,
789.5604384767468,,,,,352.9654833049866,352.9633983168202
872.7138913027424,,,352.9637576330315,352.95830875065735,,
999.6747311651663,352.9649746201576,352.9565429180892,,,,
1134.5238175894478,,,,,352.95280452094124,352.9506261558593
1297.0884239408674,,,352.9494296216782,352.9474519155297,,
1563.918408624271,,,,,352.9452150397069,352.943317747234
1575.1646221543515,352.9503672418269,352.94107489524714,,,,
1850.0914764211093,,,352.94163466413676,352.9397498413062,,
2073.0643864257163,,,,,352.94677678354674,352.9421584949144
2401.3245748108475,352.94674315562804,352.93432550083145,,,,
2533.1852315460083,,,352.9467982385509,352.94241761657395,,
2654.351026780845,,,,,352.9613461856539,352.954447294318
3299.2922877979304,,,,,352.99218859233105,352.9841362037631
3340.6020093299603,,,352.9715038231876,352.9653603026726,,
3529.1292183474147,352.968406029628,352.9570906070515,,,,
3999.629436397636,,,,,353.0418220053609,353.0334019357919
4261.947646745685,,,353.0214785679477,353.01726708238533,,
4747.860582310452,,,,,353.1120159714992,353.1059156825881
4994.790709437165,353.0330469986503,353.02617733399705,,,,
5284.497213174851,,,353.1009476038031,353.10218378707856,,
5537.506424268426,,,,,353.2038894610245,353.201920710465
6363.200888990126,,,,,353.31807321478414,353.31992118075146
6395.34169728007,,,353.2124956240519,353.2200737229508,,
6810.1167956935915,353.1569898501185,353.1567597010888,,,,
7220.629862240621,,,,,353.45488948316466,353.458954447422
7582.920853522155,,,353.35743081830043,353.36826503764524,,
8106.403204458025,,,,,353.61451219738393,353.6177076878029
8837.653546335521,,,353.5363716744156,353.5438657159965,,
8964.636204849732,353.35103831196824,353.35269146349776,,,,
9017.894024570698,,,,,353.7970783000069,353.79570071140614
9953.09042436461,,,,,354.0027504708996,353.99492676176675
10151.930717665766,,,353.7497301947363,353.7494298277888,,
10910.471468336382,,,,,354.23174471014266,354.2197777698104
11436.938254832325,353.62156074988815,353.619700931338,,,,
11519.825600200636,,,353.9979591390837,353.99258152954377,,
11888.903602665077,,,,,354.48433481906744,354.47140030357957
12887.554459935001,,,,,354.7608452392249,354.74814857812817
12936.78467339795,,,354.2816305355725,354.27992253445166,,
13905.848902953117,,,,,355.0616536837984,355.0578483393809
14203.119576490448,353.97375610230375,353.9776879232477,,,,
14399.318463537591,,,354.60142337410406,354.61147186892794,,
14943.393372885046,,,,,355.38717291345404,355.40882636220545
15904.794564684957,,,354.958102656993,354.98617719098814,,
