j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,6.252381474474785,6.253196725975632
144.2217401281105,,,6.315687541785111,6.319431124930156,,
146.38211622420582,6.627345268990018,6.639413508544762,,,,
219.28791497034828,,,,,6.233841582119423,6.246364220964708
224.92862354035967,,,6.297293604736357,6.3368514665834645,,
231.69361752876148,6.613427791320453,6.618026466508026,,,,
342.6101684097347,,,,,6.203159024641739,6.206801082846033
358.06050820667093,,,6.265143020588932,6.272275685904394,,
377.7263405943315,6.584056676380761,6.614524130744116,,,,
528.1908089177882,,,,,6.153232644300522,6.147697045059598
566.1525397949803,,,6.209379718093543,6.218883050035289,,
618.5630313054664,6.524201693887138,6.5523206915067895,,,,
789.5604384767468,,,,,6.073194680205706,6.0880720621081865
872.7138913027424,,,6.112695656120499,6.1449468264035385,,
999.6747311651663,6.402050197329875,6.438230871349826,,,,
1134.5238175894478,,,,,5.945109955439613,5.974805893034404
1297.0884239408674,,,5.942551660072834,5.980547605958229,,
1563.918408624271,,,,,5.742470409672281,5.772708671736799
1575.1646221543515,6.142758379261975,6.174900567169515,,,,
1850.0914764211093,,,5.64704905796646,5.669736928762521,,
2073.0643864257163,,,,,5.437505702121321,5.458784043807082
2401.3245748108475,5.607796418468417,5.6459140942437775,,,,
2533.1852315460083,,,5.177912010513856,5.206269515038006,,
2654.351026780845,,,,,5.020847833090848,5.036337121393562
3299.2922877979304,,,,,4.51964674777195,4.525529169430284
3340.6020093299603,,,4.549543542238917,4.567720473885528,,
3529.1292183474147,4.710992197675665,4.753300621523401,,,,
3999.629436397636,,,,,3.9897449138782304,4.0058522169663116
4261.947646745685,,,3.8610612020428166,3.8699623167907617,,
4747.860582310452,,,,,3.485550466400056,3.494782782053662
4994.790709437165,3.653704384766844,3.679255971734306,,,,
5284.497213174851,,,3.223117831506315,3.2238027881272995,,
5537.506424268426,,,,,3.0386963790039982,3.050968620794318
6363.200888990126,,,,,2.65799088119586,2.677813052997636
6395.34169728007,,,2.689629824291181,2.7057092826426725,,
6810.1167956935915,2.7424303920718707,2.7872483149970937,,,,
7220.629862240621,,,,,2.3391456601114853,2.365093994832948
7582.920853522155,,,2.2633132253055854,2.2938999069221917,,
8106.403204458025,,,,,2.073046971645675,2.10211287344747
8837.653546335521,,,1.926315102884347,1.9585373144648262,,
8964.636204849732,2.071274851118434,2.1057336242100906,,,,
9017.894024570698,,,,,1.8501423865604658,1.8778700266572261
9953.09042436461,,,,,1.6620810049484172,1.6849966467096922
10151.930717665766,,,1.6584159826906928,1.684678179068109,,
10910.471468336382,,,,,1.5020626344500878,1.5155763070016526
11436.938254832325,1.5957756668297747,1.5958103494897382,,,,
11519.825600200636,,,1.442864260530602,1.457453133385424,,
11888.903602665077,,,,,1.3647066798462035,1.366790083928991
12887.554459935001,,,,,1.245795975580859,1.2394317217151463
12936.78467339795,,,1.2670038185015766,1.2658528157107167,,
13905.848902953117,,,,,1.1420237296436169,1.1297487177559289
14203.119576490448,1.2556562818821335,1.2423581483556345,,,,
14399.318463537591,,,1.121542722205627,1.1136511484261,,
14943.393372885046,,,,,1.0507877354707957,1.0342031713731408
15904.794564684957,,,0.9996762609128834,0.9869301256421751,,
