j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,0.00405099860182653,0.0024169703242939095
144.2217401281105,,,0.004127693105741533,0.004291708398388751,,
146.38211622420582,0.004211800077249948,0.006690718096957091,,,,
219.28791497034828,,,,,0.007194926323674408,0.007746539526715842
224.92862354035967,,,0.007428192809361552,0.008722907482612922,,
231.69361752876148,0.007699852746896161,0.007740353073025849,,,,
342.6101684097347,,,,,0.012281709891325331,0.012295038625022816
358.06050820667093,,,0.012923550166629789,0.01377469278405283,,
377.7263405943315,0.013725495074857666,0.012573550344086016,,,,
528.1908089177882,,,,,0.019976270004564194,0.02057663796469302
566.1525397949803,,,0.02155686517278467,0.02222999803909695,,
618.5630313054664,0.023711602311651564,0.021958643197831976,,,,
789.5604384767468,,,,,0.03084990148892148,0.03171856236338337
872.7138913027424,,,0.0343180222503567,0.035086055321969394,,
999.6747311651663,0.039564539007604475,0.03805931348658528,,,,
1134.5238175894478,,,,,0.04524558363366174,0.04668808205097626
1297.0884239408674,,,0.052041792747580265,0.053022768023501705,,
1563.918408624271,,,,,0.06323650212594585,0.06386192010042299
1575.1646221543515,0.06359066501112089,0.06228182704619076,,,,
1850.0914764211093,,,0.07525121362279882,0.07408461026258856,,
2073.0643864257163,,,,,0.08469579592607064,0.08290006416480108
2401.3245748108475,0.09832104586108473,0.09896907436702326,,,,
2533.1852315460083,,,0.10414793567054041,0.10257274429295074,,
2654.351026780845,,,,,0.10940017876284258,0.10750662306524023
3299.2922877979304,,,,,0.13709028429455836,0.136703773209681
3340.6020093299603,,,0.13867693727966657,0.13787786507763078,,
3529.1292183474147,0.14630061491097415,0.1456307045813269,,,,
3999.629436397636,,,,,0.16748891505251712,0.1675826683336915
4261.947646745685,,,0.1785543385949238,0.17848526188668862,,
4747.860582310452,,,,,0.2003216328139727,0.20127555076555403
4994.790709437165,0.20952373787619794,0.2089809607909602,,,,
5284.497213174851,,,0.22333186952352063,0.22402520313488714,,
5537.506424268426,,,,,0.2353486584846238,0.23694494449986242
6363.200888990126,,,,,0.2723854951350535,0.2743603738109111
6395.34169728007,,,0.27254104996156614,0.2729786111837992,,
6810.1167956935915,0.28882279850510073,0.2872946715375099,,,,
7220.629862240621,,,,,0.31130743316163845,0.3127698813178321
7582.920853522155,,,0.3258039868900583,0.32531346203785316,,
8106.403204458025,,,,,0.3520413183989636,0.3522035501679808
8837.653546335521,,,0.38286436106735655,0.3816391820370201,,
8964.636204849732,0.3841901562797501,0.3824539743788962,,,,
9017.894024570698,,,,,0.3945560774064282,0.39295966447162556
9953.09042436461,,,,,0.43885442084306503,0.43568695274512087
10151.930717665766,,,0.44357539098464477,0.44260195233437033,,
10910.471468336382,,,,,0.4849666701995011,0.48086795837628626
11436.938254832325,0.4954106294138492,0.49472670636899163,,,,
11519.825600200636,,,0.5078822467652686,0.5080924789147141,,
11888.903602665077,,,,,0.5329462806955448,0.5289672719069388
12887.554459935001,,,,,0.5828665087605334,0.5790802154621771
12936.78467339795,,,0.5758048078634028,0.577438257871045,,
13905.848902953117,,,,,0.6348191654201677,0.6318635235572488
14203.119576490448,0.6223697499472529,0.621913037357443,,,,
14399.318463537591,,,0.6474251685296246,0.6482850403167871,,
14943.393372885046,,,,,0.6889120058041442,0.6887745305966945
15904.794564684957,,,0.7228804550214615,0.7233199306076407,,
