j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,1.1986514666358399e-06,-1823.2171639003946
144.2217401281105,,,1.1986527523203747e-06,-1826.3439200685093,,
146.38211622420582,1.1986527450886158e-06,-1821.2060957767526,,,,
219.28791497034828,,,,,1.1986383502443631e-06,-1821.76353556419
224.92862354035967,,,1.1986383483778688e-06,-1825.8165957735764,,
231.69361752876148,1.198636068901478e-06,-1825.509175209148,,,,
342.6101684097347,,,,,1.198620423021673e-06,-1828.7616483996653
358.06050820667093,,,1.198617838372362e-06,-1828.689290370694,,
377.7263405943315,1.1986109660513268e-06,-1826.0027458983877,,,,
528.1908089177882,,,,,1.198598584561592e-06,-1823.5452004395574
566.1525397949803,,,1.1985913470488064e-06,-1822.183939754861,,
618.5630313054664,1.1985757080497033e-06,-1821.6475201769567,,,,
789.5604384767468,,,,,1.1985756023688037e-06,-1821.861360385481
872.7138913027424,,,1.1985611021603156e-06,-1820.5544692812127,,
999.6747311651663,1.1985302080892084e-06,-1818.6964040288867,,,,
1134.5238175894478,,,,,1.1985562626662363e-06,-1826.7097525613526
1297.0884239408674,,,1.1985322663749946e-06,-1822.9378376544773,,
1563.918408624271,,,,,1.19854676212185e-06,-1829.2713884808536
1575.1646221543515,1.1984780152561555e-06,-1821.7879917695127,,,,
1850.0914764211093,,,1.198512903072006e-06,-1825.2860376002536,,
2073.0643864257163,,,,,1.198553781940233e-06,-1827.5396466031289
2401.3245748108475,1.198428560048023e-06,-1823.9031503538258,,,,
2533.1852315460083,,,1.1985132400223335e-06,-1824.5709462413142,,
2654.351026780845,,,,,1.1985853999004823e-06,-1825.8576256056467
3299.2922877979304,,,,,1.1986460917417985e-06,-1825.3371733022918
3340.6020093299603,,,1.1985453162405481e-06,-1825.6926978077681,,
3529.1292183474147,1.1983989277628288e-06,-1826.1381645559595,,,,
3999.629436397636,,,,,1.198739906513469e-06,-1824.4201666613912
4261.947646745685,,,1.1986167325207156e-06,-1826.0740933403622,,
4747.860582310452,,,,,1.1988700391639404e-06,-1825.469964433672
4994.790709437165,1.1984106618431007e-06,-1826.019723759934,,,,
5284.497213174851,,,1.198734604807859e-06,-1827.6394925984132,,
5537.506424268426,,,,,1.1990389756957407e-06,-1826.2972309492566
6363.200888990126,,,,,1.1992488005500502e-06,-1825.7515139709822
6395.34169728007,,,1.1989046848262712e-06,-1826.3750461480108,,
6810.1167956935915,1.1984845526914814e-06,-1822.015373843794,,,,
7220.629862240621,,,,,1.1995013640878597e-06,-1824.418549722196
7582.920853522155,,,1.1991319267396625e-06,-1823.2765864158064,,
8106.403204458025,,,,,1.199798364144255e-06,-1822.8404170679855
8837.653546335521,,,1.1994207380588556e-06,-1820.560937037992,,
8964.636204849732,1.1986438712936215e-06,-1817.63266015605,,,,
9017.894024570698,,,,,1.2001413866681995e-06,-1821.778088016944
9953.09042436461,,,,,1.2005319316147626e-06,-1821.2535933656022
10151.930717665766,,,1.1997750793642933e-06,-1819.4622268550656,,
10910.471468336382,,,,,1.2009714426237e-06,-1822.1057203213081
11436.938254832325,1.1989121311258781e-06,-1821.4955278926373,,,,
11519.825600200636,,,1.2001985582689938e-06,-1820.3937859487205,,
11888.903602665077,,,,,1.201461330847618e-06,-1823.5300416346054
12887.554459935001,,,,,1.2020029944906025e-06,-1824.6095506645925
12936.78467339795,,,1.2006945184658694e-06,-1822.4861052669057,,
13905.848902953117,,,,,1.2025978199428325e-06,-1825.4594543289054
14203.119576490448,1.1993119256348286e-06,-1827.0161625387836,,,,
14399.318463537591,,,1.201266119636356e-06,-1823.9904650703497,,
14943.393372885046,,,,,1.203247202880385e-06,-1825.5138239093335
15904.794564684957,,,1.2019163935337345e-06,-1824.9891271405922,,
