j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,353.0219112518894,353.02888429104354
144.2217401281105,,,353.0226975593409,353.02092010903647,,
146.38211622420582,353.02293316846544,353.03372681401527,,,,
219.28791497034828,,,,,353.0224564872086,353.02127524714507
224.92862354035967,,,353.02296912089855,353.0215958099163,,
231.69361752876148,353.0224830374783,353.0317446593146,,,,
342.6101684097347,,,,,353.0248132437039,353.03030089201076
358.06050820667093,,,353.0249762470831,353.02734963999563,,
377.7263405943315,353.0233607245756,353.02000732012874,,,,
528.1908089177882,,,,,353.0307449244709,353.0401464663066
566.1525397949803,,,353.0307020586823,353.0341570299994,,
618.5630313054664,353.02765664533706,353.02209962197577,,,,
789.5604384767468,,,,,353.0426826404943,353.0462914916322
872.7138913027424,,,353.04319404975206,353.0401301665047,,
999.6747311651663,353.0392002366242,353.0314596597476,,,,
1134.5238175894478,,,,,353.0634923640713,353.0648801808937
1297.0884239408674,,,353.0665120012535,353.0643205543609,,
1563.918408624271,,,,,353.09613504686786,353.0986938730195
1575.1646221543515,353.0643460162224,353.05755416082866,,,,
1850.0914764211093,,,353.10541797491913,353.1057230391161,,
2073.0643864257163,,,,,353.14339820609723,353.1460882637488
2401.3245748108475,353.1127725842755,353.10526022352815,,,,
2533.1852315460083,,,353.16493308161324,353.1637888607721,,
2654.351026780845,,,,,353.20772379182677,353.2089595633723
3299.2922877979304,,,,,353.2910400764552,353.28942131287266
3340.6020093299603,,,353.2497027200686,353.24649208000386,,
3529.1292183474147,353.197569580458,353.1911132559984,,,,
3999.629436397636,,,,,353.3946459111487,353.3897846265895
4261.947646745685,,,353.3632097136182,353.359917462263,,
4747.860582310452,,,,,353.51929363192687,353.51459023419244
4994.790709437165,353.3325151692193,353.33125401361195,,,,
5284.497213174851,,,353.50754878097683,353.50552655645555,,
5537.506424268426,,,,,353.6654224952152,353.66297918551317
6363.200888990126,,,,,353.83336405943675,353.83275446482577
6395.34169728007,,,353.6839647869181,353.6841704098153,,
6810.1167956935915,353.5286199894141,353.52899086222607,,,,
7220.629862240621,,,,,354.0234407327983,354.02348388041247
7582.920853522155,,,353.89341117358987,353.89478113834946,,
8106.403204458025,,,,,354.23599672037864,354.23481723349863
8837.653546335521,,,354.1367782917834,354.13557712431435,,
8964.636204849732,353.7945956141021,353.7909296670207,,,,
9017.894024570698,,,,,354.47139988433435,354.46686862269775
9953.09042436461,,,,,354.7300389701822,354.7213752117481
10151.930717665766,,,354.41494287035806,354.40938613637724,,
10910.471468336382,,,,,355.0123218212005,355.00173427451773
11436.938254832325,354.1381593459872,354.1341862078835,,,,
11519.825600200636,,,354.7287731000748,354.7219837376867,,
11888.903602665077,,,,,355.3186751154758,355.30795914720807
12887.554459935001,,,,,355.64954431422,355.6385887748466
12936.78467339795,,,355.0791369083374,355.07622930864693,,
13905.848902953117,,,,,356.00538939086783,356.00094917749834
14203.119576490448,354.5663081037373,354.57501682060047,,,,
14399.318463537591,,,355.466907134611,355.47015847615944,,
14943.393372885046,,,,,356.3866867187516,356.40366492611497
15904.794564684957,,,355.89296619161036,355.9015411309609,,
