j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,2646.588981871435,1.9610970484229462
144.2217401281105,,,2646.5848735682666,1.9611208957393524,,
146.38211622420582,2646.578516675101,1.9611454805077675,,,,
219.28791497034828,,,,,2646.5794433309347,1.961144281768905
224.92862354035967,,,2646.574398733792,1.9611332655104992,,
231.69361752876148,2646.5659269805765,1.9611559899575912,,,,
342.6101684097347,,,,,2646.5646841860726,1.9611158306883112
358.06050820667093,,,2646.5580404992215,1.9611085130703825,,
377.7263405943315,2646.545840261213,1.9611140978278292,,,,
528.1908089177882,,,,,2646.5470433573937,1.9611326570367222
566.1525397949803,,,2646.5389606165118,1.9611140530647957,,
618.5630313054664,2646.522412676306,1.9610989193660062,,,,
789.5604384767468,,,,,2646.5349611345446,1.9611403661415199
872.7138913027424,,,2646.529983761604,1.9611238948625949,,
999.6747311651663,2646.5173811819404,1.9611077414770768,,,,
1134.5238175894478,,,,,2646.544712187024,1.9611339893059896
1297.0884239408674,,,2646.5591742855613,1.961128805898453,,
1563.918408624271,,,,,2646.5991092557088,1.9611285365615567
1575.1646221543515,2646.5910016029375,1.9611145712538103,,,,
1850.0914764211093,,,2646.6707841537427,1.9611251231905809,,
2073.0643864257163,,,,,2646.7232327848906,1.9611358594903538
2401.3245748108475,2646.8646302236593,1.9611295372808981,,,,
2533.1852315460083,,,2646.9179519917816,1.9611345606036878,,
2654.351026780845,,,,,2646.9391953173326,1.961141605091243
3299.2922877979304,,,,,2647.261850499781,1.9611425170432129
3340.6020093299603,,,2647.348803542787,1.9611372721813423,,
3529.1292183474147,2647.5195436381036,1.9611267065880529,,,,
3999.629436397636,,,,,2647.6964820176363,1.9611441846558835
4261.947646745685,,,2647.991922110552,1.9611369489770667,,
4747.860582310452,,,,,2648.2387787059415,1.9611407287979605
4994.790709437165,2648.739218226052,1.9611353466122077,,,,
5284.497213174851,,,2648.8482460610685,1.9611400247285529,,
5537.506424268426,,,,,2648.87663305318,1.9611479022637477
6363.200888990126,,,,,2649.592878776428,1.9611568176943626
6395.34169728007,,,2649.8929529826855,1.9611691085611793,,
6810.1167956935915,2650.607363277464,1.9611719559453251,,,,
7220.629862240621,,,,,2650.367965340265,1.9611623554126894
7582.920853522155,,,2651.0845184411737,1.9611970824223148,,
8106.403204458025,,,,,2651.1822211452527,1.9611621194583944
8837.653546335521,,,2652.375294571859,1.961210405873683,,
8964.636204849732,2653.052957981359,1.9612033340730906,,,,
9017.894024570698,,,,,2652.0173580982373,1.9611608448499838
9953.09042436461,,,,,2652.857186072797,1.9611610208673358
10151.930717665766,,,2653.7197583583766,1.9612082906306778,,
10910.471468336382,,,,,2653.6879284732277,1.9611614366324601
11436.938254832325,2655.897752656834,1.961210688867098,,,,
11519.825600200636,,,2655.078723914339,1.961192091723431,,
11888.903602665077,,,,,2654.498240076122,1.9611585171722434
12887.554459935001,,,,,2655.278960220574,1.9611586802917722
12936.78467339795,,,2656.4206964995246,1.9611721266518087,,
13905.848902953117,,,,,2656.022798144142,1.9611622962344417
14203.119576490448,2658.943680465629,1.9611990550305693,,,,
14399.318463537591,,,2657.7214737577015,1.9611608145021644,,
14943.393372885046,,,,,2656.7240162874805,1.9611660540531666
15904.794564684957,,,2658.96299826185,1.9611481177332648,,
