j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,,65.66212032863193
144.2217401281105,,,,65.9925462465085,,
146.38211622420582,,66.34049473151184,,,,
219.28791497034828,,,,,,75.74165844120398
224.92862354035967,,,,76.16037676156475,,
231.69361752876148,,76.61949340787773,,,,
342.6101684097347,,,,,,82.72313334383247
358.06050820667093,,,,83.34784504516186,,
377.7263405943315,,83.89505791711355,,,,
528.1908089177882,,,,,,87.30156241622336
566.1525397949803,,,,87.90594865771861,,
618.5630313054664,,88.50548817714895,,,,
789.5604384767468,,,,,,90.25891169328537
872.7138913027424,,,,90.85540726610668,,
999.6747311651663,,91.43811404287345,,,,
1134.5238175894478,,,,,,92.11640638485068
1297.0884239408674,,,,92.69238673200037,,
1563.918408624271,,,,,,93.38454993093481
1575.1646221543515,,93.33427224162011,,,,
1850.0914764211093,,,,93.96178170685047,,
2073.0643864257163,,,,,,94.31444612935508
2401.3245748108475,,94.65674010528267,,,,
2533.1852315460083,,,,94.9013816070134,,
2654.351026780845,,,,,,95.03918237784961
3299.2922877979304,,,,,,95.64845380745791
3340.6020093299603,,,,95.69681332317231,,
3529.1292183474147,,95.76274669407766,,,,
3999.629436397636,,,,,,96.17428468545336
4261.947646745685,,,,96.38634288001116,,
4747.860582310452,,,,,,96.64253958260143
4994.790709437165,,96.72268487609078,,,,
5284.497213174851,,,,96.95179122318169,,
5537.506424268426,,,,,,97.03508047500522
6363.200888990126,,,,,,97.35709771475965
6395.34169728007,,,,97.39390715842092,,
6810.1167956935915,,97.4397048353296,,,,
7220.629862240621,,,,,,97.62127740453937
7582.920853522155,,,,97.73472916690659,,
8106.403204458025,,,,,,97.84079801243522
8837.653546335521,,,,98.00876898702474,,
8964.636204849732,,97.96870788009451,,,,
9017.894024570698,,,,,,98.0312741895865
9953.09042436461,,,,,,98.19854764650317
10151.930717665766,,,,98.23921138818751,,
10910.471468336382,,,,,,98.34917812659376
11436.938254832325,,98.37544274425983,,,,
11519.825600200636,,,,98.43500870199736,,
11888.903602665077,,,,,,98.48415548949691
12887.554459935001,,,,,,98.60043065979717
12936.78467339795,,,,98.60022807194366,,
13905.848902953117,,,,,,98.69986026541784
14203.119576490448,,98.65787329167767,,,,
14399.318463537591,,,,98.73452330359322,,
14943.393372885046,,,,,,98.78538054803315
15904.794564684957,,,,98.85298078102431,,
