j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,1.7439921407042762e-08,-15081.724865512337
144.2217401281105,,,1.781620077795712e-08,-15002.838963610271,,
146.38211622420582,1.844627805756254e-08,-14687.6789145994,,,,
219.28791497034828,,,,,3.056892064885104e-08,-11428.306663085601
224.92862354035967,,,3.163480652900848e-08,-11305.417496784014,,
231.69361752876148,3.327662056835178e-08,-11042.258011484058,,,,
342.6101684097347,,,,,5.1448132303077985e-08,-8825.871835360133
358.06050820667093,,,5.422504242824256e-08,-8592.988182163032,,
377.7263405943315,5.840843807471163e-08,-8265.786034086457,,,,
528.1908089177882,,,,,8.215818502443078e-08,-6983.521611094126
566.1525397949803,,,8.863257640665969e-08,-6718.927712358651,,
618.5630313054664,9.864759973613276e-08,-6354.430814958501,,,,
789.5604384767468,,,,,1.2372451059223292e-07,-5680.698173799534
872.7138913027424,,,1.3701136164847712e-07,-5395.083076070459,,
999.6747311651663,1.5880169341158e-07,-5017.861058145081,,,,
1134.5238175894478,,,,,1.753983982926071e-07,-4781.554776893536
1297.0884239408674,,,1.9921679845058387e-07,-4494.60508668299,,
1563.918408624271,,,,,2.3458222135128006e-07,-4139.912521344511
1575.1646221543515,2.411097783666983e-07,-4074.2604166102064,,,,
1850.0914764211093,,,2.719436798661576e-07,-3851.301427583763,,
2073.0643864257163,,,,,2.974951819497949e-07,-3674.6101344622984
2401.3245748108475,3.4163786994849874e-07,-3427.1061300234433,,,,
2533.1852315460083,,,3.4925281343076773e-07,-3400.7178454870227,,
2654.351026780845,,,,,3.6014425019485443e-07,-3340.2154080531727
3299.2922877979304,,,,,4.191279461884607e-07,-3100.680671013957
3340.6020093299603,,,4.2431174009395907e-07,-3086.355680403347,,
3529.1292183474147,4.483721254671837e-07,-2986.8765789407844,,,,
3999.629436397636,,,,,4.7209215496411775e-07,-2922.177559206062
4261.947646745685,,,4.91408717744685e-07,-2862.1742265424364,,
4747.860582310452,,,,,5.178517616072323e-07,-2789.737031753739
4994.790709437165,5.446928125509501e-07,-2702.5700928969345,,,,
5284.497213174851,,,5.473398365598554e-07,-2712.0653902241647,,
5537.506424268426,,,,,5.562526276287963e-07,-2691.521417435524
6363.200888990126,,,,,5.878749436564675e-07,-2616.678947877441
6395.34169728007,,,5.916511609935212e-07,-2606.229198140303,,
6810.1167956935915,6.187311089126653e-07,-2536.7784275109734,,,,
7220.629862240621,,,,,6.136988829384125e-07,-2557.3442788648863
7582.920853522155,,,6.258450320982047e-07,-2530.0056441495435,,
8106.403204458025,,,,,6.348236962168811e-07,-2508.509953771656
8837.653546335521,,,6.522284432509797e-07,-2473.2840962764385,,
8964.636204849732,6.701349127937391e-07,-2443.920326863281,,,,
9017.894024570698,,,,,6.522826081110793e-07,-2464.7774366173508
9953.09042436461,,,,,6.669530446739255e-07,-2426.3723501063178
10151.930717665766,,,6.730373600541959e-07,-2428.4699575515915,,
10910.471468336382,,,,,6.795325988317894e-07,-2396.3194058871522
11436.938254832325,7.060645826793262e-07,-2391.050773888044,,,,
11519.825600200636,,,6.900447940206714e-07,-2397.3996600473656,,
11888.903602665077,,,,,6.905532072959389e-07,-2375.403497488922
12887.554459935001,,,,,7.004113642896055e-07,-2359.8751857884563
12936.78467339795,,,7.04511748536648e-07,-2378.920476856092,,
13905.848902953117,,,,,7.093998868381233e-07,-2351.1921301968796
14203.119576490448,7.336698873628614e-07,-2352.586888732847,,,,
14399.318463537591,,,7.172885045908595e-07,-2361.9057901275883,,
14943.393372885046,,,,,7.177344418907131e-07,-2351.7992603831226
15904.794564684957,,,7.28938196092105e-07,-2359.451288586348,,
