j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,0.30204494793112846,0.30202507075997376
144.2217401281105,,,0.30204449711892595,0.3020409516423622,,
146.38211622420582,0.3020442986987907,0.30206362707166867,,,,
219.28791497034828,,,,,0.3020140685805204,0.30198467293556275
224.92862354035967,,,0.3020121650055046,0.30199600199106524,,
231.69361752876148,0.3020104662257992,0.3020213588707059,,,,
342.6101684097347,,,,,0.30196432819399166,0.3019741289763906
358.06050820667093,,,0.3019585667416318,0.3019661827624292,,
377.7263405943315,0.30195228027413884,0.30196235830420226,,,,
528.1908089177882,,,,,0.30188943574327715,0.30189574057146396
566.1525397949803,,,0.30187474136218856,0.30187756501413926,,
618.5630313054664,0.3018562855187834,0.30185480010694227,,,,
789.5604384767468,,,,,0.30178414387106717,0.3017837488890442
872.7138913027424,,,0.30175145576403334,0.30175738754792203,,
999.6747311651663,0.301704662761265,0.3017166404710994,,,,
1134.5238175894478,,,,,0.30164565900101586,0.30164310119056614
1297.0884239408674,,,0.301581357365799,0.3015950861999205,,
1563.918408624271,,,,,0.30147405478062955,0.30146824984681303
1575.1646221543515,0.30147649121227876,0.3014852506460257,,,,
1850.0914764211093,,,0.3013606073330382,0.301369220912995,,
2073.0643864257163,,,,,0.3012715641717123,0.30125470075857014
2401.3245748108475,0.3011502259465026,0.3011457426652799,,,,
2533.1852315460083,,,0.3010890952650022,0.30108759646831224,,
2654.351026780845,,,,,0.30104149179750284,0.30101834635376035
3299.2922877979304,,,,,0.30078748024885854,0.3007732231156724
3340.6020093299603,,,0.30076947208248855,0.3007634902302827,,
3529.1292183474147,0.3007065247264475,0.3006950685078147,,,,
3999.629436397636,,,,,0.30051303776676164,0.3005117398555237
4261.947646745685,,,0.3004062348785241,0.30039280642062416,,
4747.860582310452,,,,,0.30022134601346384,0.30022124844052156
4994.790709437165,0.30013184950715,0.30012480570638,,,,
5284.497213174851,,,0.3000047902071714,0.2999796494767695,,
5537.506424268426,,,,,0.299915169147101,0.2999099837229839
6363.200888990126,,,,,0.2995968263476261,0.2995878575440817
6395.34169728007,,,0.29957062961271197,0.2995374843780614,,
6810.1167956935915,0.2994226661776054,0.2994222079911418,,,,
7220.629862240621,,,,,0.29926822333885655,0.29925668543907885
7582.920853522155,,,0.2991087418549217,0.2990776228617007,,
8106.403204458025,,,,,0.29893095323587743,0.2989185888998976
8837.653546335521,,,0.2986233986890105,0.2986037479531198,,
8964.636204849732,0.2985848147202481,0.29859221107800044,,,,
9017.894024570698,,,,,0.29858640638846934,0.2985766505841879
9953.09042436461,,,,,0.298235540371819,0.29822955718742666
10151.930717665766,,,0.29811828550587044,0.29811824091876177,,
10910.471468336382,,,,,0.2978791247724715,0.2978692614722276
11436.938254832325,0.29762940108377123,0.2976385095379223,,,,
11519.825600200636,,,0.29759629962204937,0.2976004467978175,,
11888.903602665077,,,,,0.29751785277381776,0.2974980667726776
12887.554459935001,,,,,0.29715230571761525,0.29712296390977716
12936.78467339795,,,0.29705971501103523,0.2970410829807338,,
13905.848902953117,,,,,0.29678297153953365,0.2967348492297543
14203.119576490448,0.296569028636499,0.29651020776946146,,,,
14399.318463537591,,,0.2965105266988676,0.29645525968548664,,
14943.393372885046,,,,,0.29641027318775803,0.29634464480802863
15904.794564684957,,,0.2959504111933534,0.29583913513554766,,
