,Wgde,P,Vin,dpore,Wsep,j
$\mathit{HTO}$ \%,0.1552894790456847,0.4314684477197042,0.2028631775138167,0.10028195200940603,-0.009374271968081877,-0.30049937599423
$\mathit{H}_2{}_{sys}$ Nm$^3$/hr,-0.00027042642545846256,-0.00021333577891771108,-0.00020014334005631683,-9.563202001970013e-05,8.8349967100062e-05,0.99920054831101
$\Delta \mathit{T}_{stack}$ K,-0.19355991061285635,0.006115789007229497,-0.23174569268917883,-0.0001808404670060369,0.11596412119164022,0.556261917594882
eta_curr_stack,-0.240146166232755,-0.19547635026421517,-0.14523429535412158,-0.046210732057291044,0.013769517275462466,0.46586505660595345
eta_volt,0.006785398556583848,0.0004866669182231986,-0.0008961104202310919,-0.001812482957419904,-0.5146272546732128,-0.49704880629834214
"$\mathit{SEC}_{gas\text{-}liq\,sep}$ kWh/kg",-0.006341073138076808,-0.9844944324799326,-0.006706076595090304,0.0006517634486031161,0.009495615078895427,0.017005083201310382
"$\mathit{SEC}_{H_2\,purif}$ kWh/kg",0.0014814489691563004,-0.2228180896790181,0.0015105128389613705,0.0006640402153459329,-0.00012967038002195184,-0.7733362633546769
$\mathit{SEC}_{pumps}$ kWh/kg,0.28721310121923677,0.0002732246074050599,0.3170743896552528,6.692390789028493e-05,-3.4948976251413075e-05,-0.4731896472549639
$\mathit{SEC}_{comp}$ kWh/kg,9.355523539345528e-32,-1.0000894224092285,-9.337127992095966e-32,-9.458159917543814e-32,9.372056459869829e-32,-9.131524876398195e-32
$\mathit{SEC}_{lyecooler}$ kWh/kg,-0.012853782862782796,0.02020699205791721,-0.006663140704516645,-0.0009113795261765588,0.37416136203970785,0.6146465189888928
$\mathit{SEC}_{stack}$ kWh/kg,-0.0009698391487577705,0.005371654226882223,0.0054665216773527245,0.005136818057891838,0.57720254627858,0.45249014799059073
$\mathit{SEC}_{sys}$ kWh/kg,-0.001978606331379408,-0.0033255058743987646,0.0019131273018453364,0.002589106001089681,0.5480243488000288,0.48346840208342284
