j_Am2,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_1_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_3_Ls_2000_datan_ANN_valid_inputs,CFD_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs,ANN_iModel_Wgde_1_2_P_5_vin_0_025_dpore_500_dpored_0_Wsep_0_485_Ls_2000_datan_ANN_valid_inputs
142.34760178190052,,,,,,105.76921528117997
144.2217401281105,,,,105.78963165487562,,
146.38211622420582,,105.75480535524231,,,,
219.28791497034828,,,,,,102.1256097435951
224.92862354035967,,,,102.17093692302703,,
231.69361752876148,,102.18122695292745,,,,
342.6101684097347,,,,,,98.77205321005411
358.06050820667093,,,,98.76430170195442,,
377.7263405943315,,98.76958404677254,,,,
528.1908089177882,,,,,,95.59023114425796
566.1525397949803,,,,95.57542171325002,,
618.5630313054664,,95.56933203526904,,,,
789.5604384767468,,,,,,92.6146535709926
872.7138913027424,,,,92.62088474035262,,
999.6747311651663,,92.63354128292627,,,,
1134.5238175894478,,,,,,89.75863621303013
1297.0884239408674,,,,89.79486355475017,,
1563.918408624271,,,,,,87.11623477101325
1575.1646221543515,,89.76654585855347,,,,
1850.0914764211093,,,,87.14418902856963,,
2073.0643864257163,,,,,,84.63997195141656
2401.3245748108475,,87.07507187707083,,,,
2533.1852315460083,,,,84.69735641581671,,
2654.351026780845,,,,,,82.30294219749314
3299.2922877979304,,,,,,80.10660619965621
3340.6020093299603,,,,82.36690739818981,,
3529.1292183474147,,84.63404873388154,,,,
3999.629436397636,,,,,,78.03920630174024
4261.947646745685,,,,80.15712000914982,,
4747.860582310452,,,,,,76.05288096402373
4994.790709437165,,82.26343697215829,,,,
5284.497213174851,,,,78.02847237731729,,
5537.506424268426,,,,,,74.14617365760462
6363.200888990126,,,,,,72.34207673157964
6395.34169728007,,,,75.98387339898518,,
6810.1167956935915,,80.05540296648229,,,,
7220.629862240621,,,,,,70.62135013273785
7582.920853522155,,,,74.05415154874325,,
8106.403204458025,,,,,,68.97493563847883
8837.653546335521,,,,72.26764255600315,,
8964.636204849732,,77.99242398057665,,,,
9017.894024570698,,,,,,67.40491400437696
9953.09042436461,,,,,,65.90464484580926
10151.930717665766,,,,70.58409351059369,,
10910.471468336382,,,,,,64.4666624117749
11436.938254832325,,76.00397904651506,,,,
11519.825600200636,,,,68.96667087733745,,
11888.903602665077,,,,,,63.07933944012438
12887.554459935001,,,,,,61.74453473917076
12936.78467339795,,,,67.37432134875229,,
13905.848902953117,,,,,,60.47406561340605
14203.119576490448,,74.07922881492547,,,,
14399.318463537591,,,,65.85779732763767,,
14943.393372885046,,,,,,59.268400926419666
15904.794564684957,,,,64.43517086974212,,
